L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
2VKM,4DJW,47,26,6,0,,,False
2VKM,4DJX,47,24,6,0,,,False
3BRA,3BUF,10,11,10,0,,,False
3BRA,3BUG,10,12,10,0,,,False
3BRA,3BUH,10,16,10,0,,,False
3BRA,3CKP,10,40,9,0,,,False
3BRA,3I25,10,63,8,0,,,False
3BRA,3KMX,10,17,8,0,,,False
3BRA,3KMY,10,16,8,0,,,False
3BRA,3L59,10,17,7,0,,,False
3BRA,3LPI,10,46,9,0,,,False
3BRA,3LPK,10,48,9,0,,,False
3BRA,3RSX,10,16,6,0,,,False
3BRA,3RU1,10,23,6,0,,,False
3BRA,3UDH,10,14,6,0,,,False
3BRA,4DJU,10,20,6,0,,,False
3BRA,4DJV,10,28,7,0,,,False
3BRA,4DJW,10,26,6,0,,,False
3BRA,4DJX,10,24,6,0,,,False
3BUF,3BUG,11,12,10,0,,,False
3BUF,3BUH,11,16,10,0,,,False
3BUF,3CKP,11,40,10,0,,,False
3BUF,3I25,11,63,8,0,,,False
3BUF,3KMX,11,17,8,0,,,False
3BUF,3KMY,11,16,8,0,,,False
3BUF,3L59,11,17,7,0,,,False
3BUF,3LPI,11,46,10,0,,,False
3BUF,3LPK,11,48,10,0,,,False
3BUF,3RSX,11,16,6,0,,,False
3BUF,3RU1,11,23,6,0,,,False
3BUF,3UDH,11,14,6,0,,,False
3BUF,4DJU,11,20,6,0,,,False
3BUF,4DJV,11,28,7,0,,,False
3BUF,4DJW,11,26,6,0,,,False
3BUF,4DJX,11,24,6,0,,,False
3BUG,3BUH,12,16,10,0,,,False
3BUG,3CKP,12,40,9,0,,,False
3BUG,3I25,12,63,8,0,,,False
3BUG,3KMX,12,17,8,0,,,False
3BUG,3KMY,12,16,8,0,,,False
3BUG,3L59,12,17,7,0,,,False
3BUG,3LPI,12,46,9,0,,,False
3BUG,3LPK,12,48,9,0,,,False
3BUG,3RSX,12,16,6,0,,,False
3BUG,3RU1,12,23,6,0,,,False
3BUG,3UDH,12,14,6,0,,,False
3BUG,4DJU,12,20,6,0,,,False
3BUG,4DJV,12,28,7,0,,,False
3BUG,4DJW,12,26,6,0,,,False
3BUG,4DJX,12,24,6,0,,,False
3BUH,3CKP,16,40,9,0,,,False
3BUH,3I25,16,63,8,0,,,False
3BUH,3KMX,16,17,8,0,,,False
3BUH,3KMY,16,16,8,0,,,False
3BUH,3L59,16,17,7,0,,,False
3BUH,3LPI,16,46,9,0,,,False
3BUH,3LPK,16,48,9,0,,,False
3BUH,3RSX,16,16,9,0,,,False
3BUH,3RU1,16,23,9,0,,,False
3BUH,3UDH,16,14,7,0,,,False
3BUH,4DJU,16,20,6,0,,,False
3BUH,4DJV,16,28,7,0,,,False
3BUH,4DJW,16,26,11,0,,,False
3BUH,4DJX,16,24,11,0,,,False
3CKP,3I25,40,63,15,0,,,False
3CKP,3KMX,40,17,8,0,,,False
