L1,L2,L1_natoms,L2_natoms,mcss,_,_,_,_
2BR1,2CGW,29,20,0,0,,,False
2BR1,2CGX,29,15,7,0,,,False
2BR1,2E9N,29,35,9,0,,,False
2BR1,2E9O,29,30,9,0,,,False
2BR1,2E9P,29,26,8,0,,,False
2BR1,2E9U,29,24,7,0,,,False
2BR1,2E9V,29,34,7,0,,,False
2BRB,2BRG,25,26,25,0,,,False
2BRB,2BRH,25,26,25,0,,,False
2BRB,2BRM,25,25,24,0,,,False
2BRB,2BRN,25,26,24,0,,,False
2BRB,2BRO,25,27,24,0,,,False
2BRB,2C3J,25,18,0,0,,,False
2BRB,2C3K,25,27,8,0,,,False
2BRB,2C3L,25,18,8,0,,,False
2BRB,2CGU,25,25,6,0,,,False
2BRB,2CGV,25,19,6,0,,,False
2BRB,2CGW,25,20,0,0,,,False
2BRB,2CGX,25,15,7,0,,,False
2BRB,2E9N,25,35,9,0,,,False
2BRB,2E9O,25,30,9,0,,,False
2BRB,2E9P,25,26,6,0,,,False
2BRB,2E9U,25,24,6,0,,,False
2BRB,2E9V,25,34,6,0,,,False
2BRG,2BRH,26,26,25,0,,,False
2BRG,2BRM,26,25,24,0,,,False
2BRG,2BRN,26,26,24,0,,,False
2BRG,2BRO,26,27,24,0,,,False
2BRG,2C3J,26,18,0,0,,,False
2BRG,2C3K,26,27,8,0,,,False
2BRG,2C3L,26,18,8,0,,,False
2BRG,2CGU,26,25,6,0,,,False
2BRG,2CGV,26,19,6,0,,,False
2BRG,2CGW,26,20,0,0,,,False
2BRG,2CGX,26,15,7,0,,,False
2BRG,2E9N,26,35,9,0,,,False
2BRG,2E9O,26,30,9,0,,,False
2BRG,2E9P,26,26,6,0,,,False
2BRG,2E9U,26,24,6,0,,,False
2BRG,2E9V,26,34,6,0,,,False
2BRH,2BRM,26,25,24,0,,,False
2BRH,2BRN,26,26,24,0,,,False
2BRH,2BRO,26,27,24,0,,,False
2BRH,2C3J,26,18,0,0,,,False
2BRH,2C3K,26,27,8,0,,,False
2BRH,2C3L,26,18,8,0,,,False
2BRH,2CGU,26,25,6,0,,,False
2BRH,2CGV,26,19,6,0,,,False
2BRH,2CGW,26,20,0,0,,,False
2BRH,2CGX,26,15,7,0,,,False
2BRH,2E9N,26,35,9,0,,,False
2BRH,2E9O,26,30,9,0,,,False
2BRH,2E9P,26,26,6,0,,,False
2BRH,2E9U,26,24,6,0,,,False
2BRH,2E9V,26,34,6,0,,,False
2BRM,2BRN,25,26,25,0,,,False
2BRM,2BRO,25,27,25,0,,,False
2BRM,2C3J,25,18,6,0,,,False
2BRM,2C3K,25,27,9,0,,,False
2BRM,2C3L,25,18,9,0,,,False
2BRM,2CGU,25,25,6,0,,,False
2BRM,2CGV,25,19,6,0,,,False
2BRM,2CGW,25,20,0,0,,,False
2BRM,2CGX,25,15,9,0,,,False
2BRM,2E9N,25,35,10,0,,,False
2BRM,2E9O,25,30,10,0,,,False
2BRM,2E9P,25,26,6,0,,,False
2BRM,2E9U,25,24,6,0,,,False
2BRM,2E9V,25,34,6,0,,,False
2BRN,2BRO,26,27,26,0,,,False
2BRN,2C3J,26,18,6,0,,,False
2BRN,2C3K,26,27,9,0,,,False
2BRN,2C3L,26,18,9,0,,,False
2BRN,2CGU,26,25,6,0,,,False
2BRN,2CGV,26,19,6,0,,,False
2BRN,2CGW,26,20,0,0,,,False
2BRN,2CGX,26,15,9,0,,,False
2BRN,2E9N,26,35,10,0,,,False
2BRN,2E9O,26,30,10,0,,,False
2BRN,2E9P,26,26,6,0,,,False
2BRN,2E9U,26,24,6,0,,,False
2BRN,2E9V,26,34,6,0,,,False
2BRO,2C3J,27,18,6,0,,,False
2BRO,2C3K,27,27,9,0,,,False
2BRO,2C3L,27,18,9,0,,,False
2BRO,2CGU,27,25,6,0,,,False
2BRO,2CGV,27,19,6,0,,,False
2BRO,2CGW,27,20,0,0,,,False
2BRO,2CGX,27,15,9,0,,,False
2BRO,2E9N,27,35,10,0,,,False
2BRO,2E9O,27,30,10,0,,,False
2BRO,2E9P,27,26,6,0,,,False
2BRO,2E9U,27,24,6,0,,,False
2BRO,2E9V,27,34,6,0,,,False
2C3J,2C3K,18,27,0,0,,,False
2C3J,2C3L,18,18,0,0,,,False
2C3J,2CGU,18,25,6,0,,,False
2C3J,2CGV,18,19,0,0,,,False
2C3J,2CGW,18,20,6,0,,,False
2C3J,2CGX,18,15,5,0,,,False
2C3J,2E9N,18,35,0,0,,,False
2C3J,2E9O,18,30,0,0,,,False
2C3J,2E9P,18,26,0,0,,,False
2C3J,2E9U,18,24,0,0,,,False
2C3J,2E9V,18,34,0,0,,,False
2C3K,2C3L,27,18,18,0,,,False
2C3K,2CGU,27,25,0,0,,,False
